Category,Title,Description
Building construction and support and maintenance and repair services,"Holsworthy Tobruk & Jordan Live In Accommodation Refurbishment, NSW",Holsworthy Tobruk & Jordan Live In Accommodation Refurbishment
Crop production and management and protection,NGN Weed control Ag tech demonstration for the Vic Mallee and North Central Subregions,"Growers at the Natya and Manangatang NGN Forums identified a desire to understand the options, fit and return on investm..."
Management advisory services,Deal Teams Project Development Support Fund (DEALTEAMS),Design and implemention of the Southeast Asia Investment Deal Teams Project Development Support fund.
Building construction and support and maintenance and repair services,"Marrangaroo Fire Compliance Works, NSW",Marrangaroo Fire Compliance Works
Military science and research,Advanced Strategic Capabilities Accelerator Emerging and Disruptive Technologies Decision Advantage Request for Proposal,Request for Proposal for EDT Projects for the Capability Effect of Decision Advantage
Business administration services,Pacific Project Communications,Pacific Project Communications
Laboratory and scientific equipment,"Design, Manufacture and Installation of Assembly Machine for Coral Aquaculture",A Coral Assembly Machine is required for assembling concrete tiles with live juvenile coral grown in AIMS’ National Sea ...
Crop production and management and protection,Supporting the development of standardised On Farm Experimentation approaches in the Northern region,Paddock scale experimentation leverages precision agriculture farm-scale machinery and software to capture experimental ...
Drugs and Pharmaceutical Products,Provision of imported plasma and recombinant products,"The National Blood Authority (NBA) invites Tenders for the provision of imported plasma and recombinant products, namely..."
Lease and rental of property or building,Request for Proposal - Leased Office Accommodation - Melbourne,The Australian Taxation Office (ATO) invites Tenderers to submit a response for the provision of leased office accommoda...
Crop production and management and protection,NGN Milling Oats Agronomy for Southern NSW,Southern NSW cropping systems are dominated by wheat and barley as the choice options for winter cereals crops. The esta...
Building construction and support and maintenance and repair services,"HMAS Stirling Minor New Capability Works, WA","HMAS Stirling Minor New Capability Works, WA"
Building construction and support and maintenance and repair services,"RAAF Amberley Entry Works, QLD",RAAF Amberley Entry Works
Building construction and support and maintenance and repair services,"Defence Science & Technology Group Edinburgh Laboratory Refurbishment, SA",Defence Science & Technology Group Edinburgh Laboratory Refurbishment Works
Building construction and support and maintenance and repair services,"Singleton Ranges Repairs and Maintenance, NSW",Singleton Ranges Repairs and Maintenance
Building construction and support and maintenance and repair services,DPS25000508 AUTOMATIC DOOR MAINTENANCE AND REPAIR SERVICES AT AUSTRALIAN PARLIAMENT HOUSE (APH),DPS25000508 automatic door maintenance and repair services at australian parliament house (APH)
Health administration services,Provision of Comcover Overseas Medical and Travel Assistance Services,Request for Tender for the Provision of Comcover Overseas Medical and Travel Assistance Services
Crop production and management and protection,Review and update of the Owner Reimbursement Cost Evidence Framework for the grains industry,"To ensure the future viability and sustainability of the Australian grains industry, it is important to mitigate risks f..."
Crop production and management and protection,The biosecurity surveillance system for the grains industry: A gaps and opportunity analysis,"To ensure the long-term viability and sustainability of the Australian grains industry, it is important to mitigate risk..."
Building construction and support and maintenance and repair services,Market Sounding for ESTL0400PH3 Armoured Fighting Vehicle Facilities Program (AFVFP) Stage 3 – Design Services Contract,ESTL0400PH3 – Armoured Fighting Vehicles Facilities Program – Stage 3 Design Services Contract – Market Sounding
Building construction and support and maintenance and repair services,"Gallipoli Barracks Power Infrastructure Upgrade Phase 2, QLD","Gallipoli Barracks Power Infrastructure Upgrade Phase 2, QLD"
Building construction and support and maintenance and repair services,"RAAF Townsville Storage Facility Works, QLD","RAAF Townsville Storage Facility Works, QLD"
Debt management,Debt Management and Recovery Services,The National Indigenous Australians Agency (the Customer) requires assistance from a debt recovery service provider to s...
Crop production and management and protection,Cost effective and sustainable management strategies for wheat foliar diseases - South,Integration of cost effective and sustainable management strategies for wheat foliar diseases in the Southern Region and...
Crop production and management and protection,Integration of cost effective and sustainable management strategies for wheat foliar diseases in the Southern Region,"<span"">Wheat foliar diseases including Septoria tritici blotch (STB), Stripe Rust (SR) and Wheat powdery mildew (W..."
Power sources,Notice - SKA-Low Central Power Station PPA tender development,The SKA Observatory (SKAO) intend to conduct a competitive procurement activity in 2026 to appoint an Independent Power ...
Building construction and support and maintenance and repair services,"Salt Ash Fire Trail Remediation Works, NSW",EST08529-Salt Ash Fire Trail Remediation Works
Education and Training Services,THE PROVISION OF ADULT MIGRANT ENGLISH PROGRAM ACADEMY SERVICES,The Adult English Migrant Program (AMEP) Academy will deliver annual professional learning for AMEP Teachers and continu...
Lease and rental of property or building,FUTURE LEASED OFFICE ACCOMMODATION – ADELAIDE – (ADL-JATM),Lease transaction services: potential JATM (Adelaide)
Two way radios,Peacetime Search and Rescue (PSAR) Radio,Procurement of Peacetime Search and Rescue (PSAR) Radio System
Corporate objectives or policy development,The review of the Statement on Consumer and Community Involvement in Health and Medical Research,The National Health and Medical Research Council (NHMRC) requires the services of a suitably qualified and experienced S...
Distribution,Request for Expressions of Interest (REI) for National Diabetes Services Scheme Product Distribution Arrangements,The Department is seeking expressions of interest to secure future supply arrangements for the National Diabetes Service...
Aircraft,Air Charter Services Procurement,For the provision of Air Charter Services
Health administration services,Impending Request for Tender for Participation in the Community Service Obligation (CSO),The Department of Health and Aged Care intends to release a RFT to the open market on 3 February 2025. The RFT will be t...
Education and Training Services,Train-the-Trainer services for the Carbon Farming Outreach Program,"The Train-the-Trainer (TtT) services will provide trusted advisers of farmers and land managers, with the tools, skills ..."
Medical science research and experimentation,Conduct Methodological Reviews of third party Evidence Reviews for Australian Dietary Guidelines,Procurement of services to conduct methodological reviews of third party evidence reviews (scoping or systematic) commis...
Water and wastewater treatment supply and disposal,SPA9360 Water Treatment Plant Upgrade,Upgrade of Capacity of Reverse Osmosis Treatment Plant at Exmouth WA
Surveillance and detection equipment,General Purpose Night Vision Devices,Navy is seeking a low-cost ITAR-free hand held Night Vision Device for use by bridge / navigation teams.
Strategic planning consultation services,Monitoring and Evaluation of Equality at Work,Monitoring and Evaluation of  Equlity at Work
Crop production and management and protection,GRDC NGN Grower Network - Coordination and administration services for the Western Region,The delivery of efficient and impactful NGN forums by Grower Relations Managers (GRMs) has been enabled by the engagemen...
Crop production and management and protection,NGN Identifying alternative profitable legume options for CQ,"During the NGN forums in Central Queensland (Gindie and Clermont), growers emphasized the need for alternative crop opti..."
Crop production and management and protection,GRDC Grower Network -Facilitation training for staff.,The National Grower Network (NGN) program is designed to capture and respond promptly to grain grower issues and opportu...
Crop production and management and protection,Sharing grower stories of farm safety for awareness to aid behaviour change on farm,Improving farm safety on grain farms is an area of investment identified as a priority of Portfolio Team Five through ga...
Crop production and management and protection,GRDC NGN Grower Network - Coordination and administration services for the Southern Region.,The National Grower Network (NGN) program is designed to capture and respond promptly to grain grower issues and opportu...
Crop production and management and protection,NGN - Variable soils amelioration upskilling,Soil constraints are estimated to cost Australian growers lost grain production of more than $4 billion every year (Dr S...
Crop production and management and protection,GRDC Grower Network - Coordination and administration services for the Northern Region,The National Grower Network (NGN) program is designed to capture and respond promptly to grain grower issues and opportu...
Vehicle leasing,Provision of Novated Leasing Services,NOPSEMA is seeking offers from experienced and suitably qualified service provider to manage Salary Packaging Ser...
Crop production and management and protection,NGN Can early planting of wheat be profitable in Sth Qld and Nth NSW,Variable climatic conditions and periodic rainfall has led to the appeal of increasing cropping diversity in Northern NS...
Military science and research,Land-Air Autonomous Tactical Teaming in the Littoral at Scale (LAATT-LS),Land-Air Autonomous Tactical Teaming in the Littoral at Scale (LAATT-LS)
Building construction and support and maintenance and repair services,"RAAF Williamtown Accommodation Refurbishment, NSW",RAAF Williamtown Accommodation Refurbishment Works
Building construction and support and maintenance and repair services,"Kapooka Minor Repair & Maintenance Package 1, NSW",Kapooka Minor Repair & Maintenance Package 1 Works
Temporary personnel services,To Establish a Contract for Technical Support and Advice,To establish a contract for technical support and advice.
Personnel recruitment,International Sales Agent Services,The Royal Australian Mint distributes collector and investment coins across global markets. The Mint is seeking an Inter...
Education and Training Services,Executive Level 2 (EL2) Talent Development Program,The Australian Taxation Office (ATO) is seeking a suitably qualified and experienced supplier to partner with to design ...
Education and Training Services,"52266 First Aid Civilian Qualifications, Lifeguard & Basic Life Support Training CPR/AED","52266 - First Aid, Lifeguard & Basic Life Suppt Training CPR/AED (TA-MLH (PTI), TA-AVN, TA-ENG, TA-ITLM )"
Online database information retrieval systems,Request for Tender (RFT) for the provision of an eQMS,Provision of an electronic Quality Management System (eQMS) for the GA Laboratory
Environmental management,Greenhouse Gas (GHG) and Air Emission Consultant Pool,NOPSEMA is seeking offers for experienced and suitably qualified Suppliers to establish a pool of Consultants to provide...
Building construction and support and maintenance and repair services,Stormwater Upgrades,The National Capital Authority (NCA) is seeking to engage a suitably experienced & reputable Contractor to undertake...
Technical writing,Environmental Contamination: Generic Industry Site Dossiers,The purpose of this procurement is to obtain generic industry site contamination dossiers to assist contamination assess...
Crop production and management and protection,NGN Post-emergent Broadleaf Weed Control in Chickpeas in Central Queensland,Broadleaf weed control in chickpeas is particularly challenging due to the lack of available post-emergent herbicides su...
Education and Training Services,DPS25000878 - Contract for Pilates for HRC - Jan 2025,The Department of Parliamentary Services (DPS) in Australian Parliament House (APH) is seeking an appropriately certifie...
Crop production and management and protection,NGN Overcoming herbicide resistance and staggered germination in wild oats,Wild oats pose a significant challenge to growers in Central New South Wales. They are the most prevalent weed in this r...
Facility maintenance and repair services,Springbank Island Tree Removal and Planting - Stage 3,Removal of environmental weed on the Northern shore of the island. Replanting as per the given planting list.
Workstations and office packages,Provision of Furniture,"Establishment of a furniture supply and installation panel, including design, manufacture and prototyping."
Information technology consultation services,Digital Marketplace Panel 2,An invitation to sellers who provide digital and ICT labour hire and professional and consulting services to apply to jo...
Packaging materials,capsule tender,This Approach to Market (ATM) is for the provision of optically clear injection moulded plastics for coins (Capsules)
Vehicle bodies and trailers,25ACMA087 - Van Refresh Project - Part A,25ACMA087 - Van Refresh Project - Part A UNSPSC code 25180000 with supplementary codes 25170000 and 25101900
Containers and storage,ISO Tank Acquisition,Request to Tender for the acquisition of 60 International Standard Organisation (ISO) Tanks
Lease and rental of property or building,"LONG TERM COMMONWEALTH LEASE Mornington and Mount Martha, VIC","Exceptional Leasing Opportunity COMMONWEALTH LEASE Mornington and Mount Martha, VIC"
Research programs,Australia's Economic Accelerator (AEA) Priority Manager Service and Priority Manager-Lead Service,The Department of Education invites responses for the provision of Priority Manager services and Priority Manager-Lead s...
Risk management consultation services,Safety and Risk Management Specialists,Safety and Risk Management Specialists
Environmental protection,Establishment of a specialist Technical Advisory Services Panel to support delivery of Commonwealth PFAS programs,The deparmtent is seeking to establish a panel arrangement for the supply of specialist technical advisory services to s...
Components for information technology or broadcasting or telecommunications,Provision of Wi-Fi Telecommunications Services in remote NT homelands,Provision of Wi-Fi Telecommunications Services in remote NT homelands
Education and Training Services,Advance Customer Aggression Training Panel,Provision of Advanced Customer Aggression Training
Construction and maintenance support equipment,FWN Fabrication & Installation Works,Provision for Fabrication and Installation Works
Building construction and support and maintenance and repair services,"HMAS Kuttabul Maritime Works, NSW","HMAS Kuttabul Maritime Works, NSW"
Professional engineering services,Remaining Life Assessment on Defence Class B Pressure Vessels within the DSTG Transonic Wind Tunnel Facility,Transonic Wind Tunnel Pressure Vessel Remaining Life Assessment
Software as a Service (SaaS - Cloud),REQUEST FOR TENDER IN RELATION TO PROVISION OF SOCIAL MEDIA MANAGEMENT SOFTWARE,Request for Tender in relation to Provision of Social Media Management Software
Exhibitions,Exhibition Graphics Fabrication and Installation,Fabricate and install high volumes of Exhibition Graphics across multiple galleries
Security guard services,Uniformed Security Guard Services,The Administrative Review Tribunal (ART) is seeking an Australian based organisation with the capacity to provide full t...
Building construction and support and maintenance and repair services,"Defence Science and Technology Group Edinburgh Refurbishment, SA",Defence Science and Technology Group Edinburgh Refurbishment Works
Building construction and support and maintenance and repair services,"Puckapunyal Various Works Package, VIC","Puckapunyal Various Works Package, Works"
Project management,"KNP Potable Water to Ranger Stations, South Alligator Ranger Station (SARS), East Alligator Ranger Station (EARS) and Ig",The provision of water filtration systems and additional water tank capacity to deliver potable water to the Kakadu Nati...
Oil and gas well project management services,Northern Endeavour Project Execution Advisory Team for Phase 2/3,The focus of this procurement is to support the Branch in its operations through seeking the services of suitably qualif...
Data services,Critical Minerals Research,"The Department is seeking access to critical mineral data, research and related services.  This includes access to ..."
Management advisory services,DFAT Blended Finance Support,Provide blended finance and investor engagement technical and operational support for DFAT’s International Development I...
Architectural services,Design Consultancy Services for the AIS Site Revitalisation Project,The Australian Sports Commission (ASC) is seeking design consultant services as part of the Australian Institute of Spor...
Crop production and management and protection,Proof of Concept Funding,"GRDC’s purpose is to invest in research, development and extension that creates enduring profitability for Australian gr..."
Crop production and management and protection,Air Operated Sample Probes - Pneumatic Material Transfer,"Large-seeded crops can produce varying grain quality outcomes under different environmental, management, and handling co..."
Research programs,AASB Innovative Research Proposals,Reimagine reporting and inform the future of standard setting - Call for Research Proposals
Administrative agencies services,EOI Agent Services Cobar,The Australian Government agency Services Australia is seeking Expressions of Interest from organisations to provide age...
Nonresidential building construction services,Refurbishment at Melbourne Commonwealth Law Courts,"Migration Hub refurbishment of level 6, 7, 9 and 10 at the Melbourne Commonwealth Law Courts, 305 William Street, Melbou..."
Nonresidential building construction services,Refurbishment at Sydney and Parramatta Court Premises,"Migration Hub refurbishment of level 10 of William Street, Woolloomooloo & Level 3, 4 of Garfield Barwick Commonweal..."
Events management,"INFRASTRUCTURE AND LOGISTICS SERVICES  FOR COMMEMORATIVE EVENTS IN FRANCE, TÜRKIYE AND AUSTRALIA (2027-2029)",DVA is seeking Expressions of Interest from suppliers for the provision of Infrastructure and Logistics Services for Com...
Information services,Directorate of Maritime Engineering and Logistics (DMEL) Naval Asset Management System Support (NAMSS) Contract,Directorate of Maritime Engineering and Logistics (DMEL) Naval Asset Management System Support (NAMSS) Contract
Laboratory and scientific equipment,Procurement of a Gas chromatograph interfaced to a tandem mass spectrometer (GC-MSMS).,Procurement of a gas chromatograph interfaced to a tandem mass spectrometer (GC-MSMS) for the Australian Sports Drug Tes...
Events management,Australia Next 2025 - Event Management Company,RFT for en Event Management Company to deliver Australia Next 2025 at the Melbourne Convention and Exhibition Centre.
Lease and rental of property or building,"LONG TERM COMMONWEALTH LEASE NEWCASTLE, NSW AND SURROUNDING AREAS","Exceptional Leasing Opportunity COMMONWEALTH LEASE NEWCASTLE, NSW AND SURROUNDING AREAS"
Building construction and support and maintenance and repair services,"RAAF Edinburgh Building Refurbishments, SA","RAAF Edinburgh Building Refurbishments, SA"
Building construction and support and maintenance and repair services,"Macrossan Camp Building Refurbishments, QLD",EST08259 Macrossan Camp Building Refurbishment
Data processing or preparation services,Provision of vessel drift trajectory and prediction modelling system,The provision of vessel drift trajectory and prediction modelling system
Platform software as a service,Global Media Monitoring services,Global Media Monitoring services
Building construction and support and maintenance and repair services,"HMAS Creswell Office Refurbishments, ACT","HMAS Creswell Office Refurbishments, ACT"
Information retrieval systems,"Identity Verification, Financial, Asset and Income Search Services","Establishment of an Identity Verification, Financial, Asset and Income Search Services Panel"
Information technology consultation services,CoreMod SI - Application Migration,The Bank's Core Modernisation Program (CoreMod) program seek  services  to transition all in-scope application...
Crop production and management and protection,Value chain innovation,"Due to relatively high costs associated with the Australian grains supply chain, and the various opportunities to add va..."
Crop production and management and protection,Fostering the adoption of variable rate fertiliser application for improved nutrient use efficiency,Growers have expressed a desire for training in the use of variable rate technology (VRT) in their farming enterprises. ...
Laboratory and scientific equipment,Procurement of an automated sample preparation platform capable of immunoaffinity purification,Procurement of an automated sample preparation platform for the extraction of peptide hormones using magnetic bead immun...
Building construction and support and maintenance and repair services,"PPIP-VAN-PVCPS Port Vila Central Police Station, George Pompidou, Vanuatu – Head Contractor (HC)",This Notice is for the purpose of informing Industry of the upcoming procurement for the services of Head Contractor (De...
Lubricants and oils and greases and anti corrosives,"National Supply and Distribution of ADF Petroleum, Oil and Lubricant (POL) Supplies","National Supply and Distribution of ADF Petroleum, Oil and Lubricant (POL) Supplies"
Building construction and support and maintenance and repair services,"Palmer Barracks Infrastructure Works, WA","Palmer Barracks Infrastructure Works, WA"
Military watercraft,Pacific Maritime Security Program - Pacific Maritime Support Coordinator,Provision of maintenance and support services for Guardian Class Patrol Boats and other Vessels.
Building construction and support and maintenance and repair services,Construction Market Sounding Process - Defence Capital Works Projects,"To assist the Commonwealth of Australia ( Commonwealth ), represented by the Department of Defence, in considering the p..."
Building construction and support and maintenance and repair services,Design Services Market Sounding Process - Defence Capital Works Projects,"The Commonwealth of Australia ( Commonwealth ), represented by the Department of Defence, is considering the potential d..."
Military services and national defence,Air Component Command and Control Capability System In-Service Support Contract 2025-2035,Services in support of the Air Component Command and Control Capability System (AC-C2CS)
Management support services,ASA Space Capabilities and Services Panel,Establishment of a Space Capabilities and Services Panel
Specialised warehousing and storage,Request for Information – Warehousing Solution – Osborne Precinct,The purpose of this Request For Information (RFI) is to obtain information in connection with a warehousing solution to ...
Defence and Law Enforcement and Security and Safety Equipment and Supplies,Expendable Undersea Countermeasures,Expendable Undersea Countermeasures
Aerospace systems and components and equipment,Space Situational Awareness (SSA) Capabilities for Launch and Return Support in Australia,Industry capability for monitoring launches and return support.
Crop production and management and protection,Reducing Post Maturity Yield Loss Risk- Program 1: Measurement and rating system for canola pod shatter resistance trait,"GRDC is looking to invest in the development of an accurate pod shatter measurement and a rating system, which will enha..."
Crop production and management and protection,Reducing the frost sensitivity of Canola in Australia,Canola is one of the most important oilseed crops in the world with its versatility of use for human food consumption as...
Building construction and support and maintenance and repair services,"RAAF Richmond Refurbishment Works, NSW","RAAF Richmond Refurbishment Works, NSW"
Building construction and support and maintenance and repair services,"HMAS Albatross Electrical Upgrades and Building Works, NSW","HMAS Albatross Electrical Upgrades and Building Works, NSW"
Building construction and support and maintenance and repair services,"Moorebank Military Area Building Refurbishment Works, NSW","Moorebank Military Area Building Refurbishment Works, NSW"
Building construction and support and maintenance and repair services,HMAS Waterhen South Wharf Mid Life Refit,HMAS Waterhen South Wharf Mid Life Refit
Refugee programs,Provision of Onshore Services for the Humanitarian Integration and Settlement Program (HISP),The Department of Home Affairs is seeking Humanitarian Integration and Settlement Services for refugee and humanitarian ...
Refugee programs,Provision of Australian Cultural Orientation (AUSCO) Services for Humanitarian Integration and Settlement Program (HISP),The Department of Home Affairs is seeking Australian Cultural Orientation (AUSCO) program services for the Humanitarian ...
Education and Training Services,RFT for Collective and Individual Training Support Services (CITSS),Collective and Individual Training Support Services (CITSS) Standing Offer Panel
Components for information technology or broadcasting or telecommunications,Enterprise Resource Planning (ERP) Products and Service Solutions,The DTA is inviting all ERP providers to apply for Category 3 Enterprise Resource Planning Products and Service Solution...
Education and Training Services,Navigation and Synthetic Warfare Training Services,Navigation and Synthetic Warfare Training Services
Environmental safety services,Request for Information for Industry Technical Capability in Nuclear Regulation,Request for Information for Industry Technical Capability in Nuclear Regulation
Military services and national defence,Support to Space Domain Awareness (SDA) Capabilities,"Advance notice - invitation to register to Support SDA Capabilities at Exmouth ,WA and Edinburgh, SA"
Reconnaissance or surveillance aircraft,Pacific Maritime Security Program Acquisition of Enhanced Aerial Surveilliance Services (Fixed-Wing),PMSP Acquisition of Enhanced Aerial Surveillance Services (Fixed-Wing)
Emergency and field medical services products,Defence Search and Rescue Services Contract,Notice to industry regarding the upcoming Defence Search and Rescue Services (DSARS) RFT
Passenger air transportation,ATM 24/3610 Antarctic Helicopter Services,Antarctic Aviation Helicopter Services
Measuring and observing and testing instruments,Demo ATM to test eLodgement and Download,Demo ATM to test eLodgement and Download
Physical and occupational therapy and rehabilitation products,Supply of Medical Grade Footwear to eligible persons,NOTE: existing suppliers need not reapply The Medical Grade Footwear (MGF) Programme is an important part of DVA’s healt...
Comprehensive health services,Invitation to provide Day Procedure Centre Services to the Veteran Community,The Department of Veterans’ Affairs (DVA) is seeking to contract with eligible stand-alone private day hospitals (referr...
Comprehensive health services,Private Hospital Services,DVA is seeking the provision of Private Hospital services for Entitled Persons by publishing this Invitation to Provide ...
Comprehensive health services,Department of Veterans' Affairs Community Nursing Services Invitation,Department of Veterans' Affairs invites interested suppliers of Community Nursing Services to apply to provide these ser...
